cold_run_id,restore_run_id,cold_response_s,restore_response_s,delta_s,kdat_cache,dump_phase,repeat_id
crossover2_initburst_200_cpubusy_rep01,crossover2_initburst_200_cpubusy_kon_rep01,0.432296,0.103184,-0.329112,on,served_first,01
crossover2_initburst_200_cpubusy_rep02,crossover2_initburst_200_cpubusy_koff_rep02,0.443124,0.209656,-0.233468,off,served_first,02
crossover2_initburst_200_cpubusy_rep02,crossover2_initburst_200_cpubusy_kon_rep02,0.443124,0.109497,-0.333627,on,served_first,02
crossover2_initburst_200_cpubusy_rep03,crossover2_initburst_200_cpubusy_koff_rep03,0.382101,0.203935,-0.178166,off,served_first,03
crossover2_initburst_200_cpubusy_rep03,crossover2_initburst_200_cpubusy_kon_rep03,0.382101,0.0968089,-0.285292,on,served_first,03
crossover2_initburst_200_cpubusy_rep04,crossover2_initburst_200_cpubusy_koff_rep04,0.435091,0.198394,-0.236697,off,served_first,04
crossover2_initburst_200_cpubusy_rep04,crossover2_initburst_200_cpubusy_kon_rep04,0.435091,0.0951011,-0.33999,on,served_first,04
crossover2_initburst_200_cpubusy_rep05,crossover2_initburst_200_cpubusy_koff_rep05,0.263343,0.206527,-0.056816,off,served_first,05
crossover2_initburst_200_cpubusy_rep05,crossover2_initburst_200_cpubusy_kon_rep05,0.263343,0.104082,-0.159261,on,served_first,05
crossover2_initburst_200_cpubusy_rep06,crossover2_initburst_200_cpubusy_koff_rep06,0.421643,0.209974,-0.211669,off,served_first,06
crossover2_initburst_200_cpubusy_rep06,crossover2_initburst_200_cpubusy_kon_rep06,0.421643,0.100788,-0.320855,on,served_first,06
crossover2_initburst_200_cpubusy_rep07,crossover2_initburst_200_cpubusy_koff_rep07,0.418276,0.222299,-0.195977,off,served_first,07
crossover2_initburst_200_cpubusy_rep07,crossover2_initburst_200_cpubusy_kon_rep07,0.418276,0.11407,-0.304206,on,served_first,07
crossover2_initburst_200_cpubusy_rep08,crossover2_initburst_200_cpubusy_koff_rep08,0.434999,0.228029,-0.20697,off,served_first,08
crossover2_initburst_200_cpubusy_rep08,crossover2_initburst_200_cpubusy_kon_rep08,0.434999,0.122806,-0.312193,on,served_first,08
crossover2_initburst_200_cpubusy_rep09,crossover2_initburst_200_cpubusy_koff_rep09,0.265129,0.206272,-0.058857,off,served_first,09
crossover2_initburst_200_cpubusy_rep09,crossover2_initburst_200_cpubusy_kon_rep09,0.265129,0.11361,-0.151519,on,served_first,09
crossover2_initburst_200_cpubusy_rep10,crossover2_initburst_200_cpubusy_koff_rep10,0.271034,0.204393,-0.066641,off,served_first,10
crossover2_initburst_200_cpubusy_rep10,crossover2_initburst_200_cpubusy_kon_rep10,0.271034,0.0969672,-0.174067,on,served_first,10
crossover2_initburst_200_cpuidle_rep01,crossover2_initburst_200_cpuidle_koff_rep01,0.218314,0.131954,-0.08636,off,served_first,01
crossover2_initburst_200_cpuidle_rep01,crossover2_initburst_200_cpuidle_kon_rep01,0.218314,0.0746341,-0.14368,on,served_first,01
crossover2_initburst_200_cpuidle_rep02,crossover2_initburst_200_cpuidle_koff_rep02,0.213495,0.132991,-0.080504,off,served_first,02
crossover2_initburst_200_cpuidle_rep02,crossover2_initburst_200_cpuidle_kon_rep02,0.213495,0.0669539,-0.146541,on,served_first,02
crossover2_initburst_200_cpuidle_rep03,crossover2_initburst_200_cpuidle_koff_rep03,0.216282,0.133438,-0.082844,off,served_first,03
crossover2_initburst_200_cpuidle_rep03,crossover2_initburst_200_cpuidle_kon_rep03,0.216282,0.066566,-0.149716,on,served_first,03
crossover2_initburst_200_cpuidle_rep04,crossover2_initburst_200_cpuidle_koff_rep04,0.215908,0.128307,-0.087601,off,served_first,04
crossover2_initburst_200_cpuidle_rep04,crossover2_initburst_200_cpuidle_kon_rep04,0.215908,0.0604808,-0.155427,on,served_first,04
crossover2_initburst_200_cpuidle_rep05,crossover2_initburst_200_cpuidle_koff_rep05,0.213962,0.138002,-0.07596,off,served_first,05
crossover2_initburst_200_cpuidle_rep05,crossover2_initburst_200_cpuidle_kon_rep05,0.213962,0.0635028,-0.150459,on,served_first,05
crossover2_initburst_200_cpuidle_rep06,crossover2_initburst_200_cpuidle_koff_rep06,0.213763,0.132393,-0.08137,off,served_first,06
crossover2_initburst_200_cpuidle_rep06,crossover2_initburst_200_cpuidle_kon_rep06,0.213763,0.066241,-0.147522,on,served_first,06
crossover2_initburst_200_cpuidle_rep07,crossover2_initburst_200_cpuidle_koff_rep07,0.21571,0.136502,-0.079208,off,served_first,07
crossover2_initburst_200_cpuidle_rep07,crossover2_initburst_200_cpuidle_kon_rep07,0.21571,0.066411,-0.149299,on,served_first,07
crossover2_initburst_200_cpuidle_rep08,crossover2_initburst_200_cpuidle_koff_rep08,0.221628,0.143965,-0.077663,off,served_first,08
crossover2_initburst_200_cpuidle_rep08,crossover2_initburst_200_cpuidle_kon_rep08,0.221628,0.06779,-0.153838,on,served_first,08
crossover2_initburst_200_cpuidle_rep09,crossover2_initburst_200_cpuidle_koff_rep09,0.22022,0.144192,-0.076028,off,served_first,09
crossover2_initburst_200_cpuidle_rep09,crossover2_initburst_200_cpuidle_kon_rep09,0.22022,0.0631411,-0.157079,on,served_first,09
crossover2_initburst_200_cpuidle_rep10,crossover2_initburst_200_cpuidle_koff_rep10,0.227557,0.140906,-0.086651,off,served_first,10
crossover2_initburst_200_cpuidle_rep10,crossover2_initburst_200_cpuidle_kon_rep10,0.227557,0.0616262,-0.165931,on,served_first,10
crossover2_initburst_300_cpubusy_rep01,crossover2_initburst_300_cpubusy_koff_rep01,0.52236,0.221635,-0.300725,off,served_first,01
crossover2_initburst_300_cpubusy_rep01,crossover2_initburst_300_cpubusy_kon_rep01,0.52236,0.0991209,-0.423239,on,served_first,01
crossover2_initburst_300_cpubusy_rep02,crossover2_initburst_300_cpubusy_koff_rep02,0.641615,0.200314,-0.441301,off,served_first,02
crossover2_initburst_300_cpubusy_rep02,crossover2_initburst_300_cpubusy_kon_rep02,0.641615,0.0991762,-0.542439,on,served_first,02
crossover2_initburst_300_cpubusy_rep03,crossover2_initburst_300_cpubusy_koff_rep03,0.588617,0.206722,-0.381895,off,served_first,03
crossover2_initburst_300_cpubusy_rep03,crossover2_initburst_300_cpubusy_kon_rep03,0.588617,0.0982151,-0.490402,on,served_first,03
crossover2_initburst_300_cpubusy_rep04,crossover2_initburst_300_cpubusy_koff_rep04,0.636856,0.215195,-0.421661,off,served_first,04
crossover2_initburst_300_cpubusy_rep04,crossover2_initburst_300_cpubusy_kon_rep04,0.636856,0.0971549,-0.539701,on,served_first,04
crossover2_initburst_300_cpubusy_rep05,crossover2_initburst_300_cpubusy_koff_rep05,0.635039,0.202281,-0.432758,off,served_first,05
crossover2_initburst_300_cpubusy_rep05,crossover2_initburst_300_cpubusy_kon_rep05,0.635039,0.118864,-0.516175,on,served_first,05
crossover2_initburst_300_cpubusy_rep06,crossover2_initburst_300_cpubusy_koff_rep06,0.3941,0.201289,-0.192811,off,served_first,06
crossover2_initburst_300_cpubusy_rep06,crossover2_initburst_300_cpubusy_kon_rep06,0.3941,0.104244,-0.289856,on,served_first,06
crossover2_initburst_300_cpubusy_rep07,crossover2_initburst_300_cpubusy_koff_rep07,0.39747,0.228938,-0.168532,off,served_first,07
crossover2_initburst_300_cpubusy_rep07,crossover2_initburst_300_cpubusy_kon_rep07,0.39747,0.09707,-0.3004,on,served_first,07
crossover2_initburst_300_cpubusy_rep08,crossover2_initburst_300_cpubusy_koff_rep08,0.392279,0.216375,-0.175904,off,served_first,08
crossover2_initburst_300_cpubusy_rep08,crossover2_initburst_300_cpubusy_kon_rep08,0.392279,0.119116,-0.273163,on,served_first,08
crossover2_initburst_300_cpubusy_rep09,crossover2_initburst_300_cpubusy_koff_rep09,0.520342,0.207935,-0.312407,off,served_first,09
crossover2_initburst_300_cpubusy_rep09,crossover2_initburst_300_cpubusy_kon_rep09,0.520342,0.0979428,-0.422399,on,served_first,09
crossover2_initburst_300_cpubusy_rep10,crossover2_initburst_300_cpubusy_koff_rep10,0.491829,0.215679,-0.27615,off,served_first,10
crossover2_initburst_300_cpubusy_rep10,crossover2_initburst_300_cpubusy_kon_rep10,0.491829,0.104457,-0.387372,on,served_first,10
crossover2_initburst_300_cpuidle_rep01,crossover2_initburst_300_cpuidle_koff_rep01,0.317583,0.132786,-0.184797,off,served_first,01
crossover2_initburst_300_cpuidle_rep01,crossover2_initburst_300_cpuidle_kon_rep01,0.317583,0.0718081,-0.245775,on,served_first,01
crossover2_initburst_300_cpuidle_rep02,crossover2_initburst_300_cpuidle_koff_rep02,0.324714,0.136329,-0.188385,off,served_first,02
crossover2_initburst_300_cpuidle_rep02,crossover2_initburst_300_cpuidle_kon_rep02,0.324714,0.071734,-0.25298,on,served_first,02
crossover2_initburst_300_cpuidle_rep03,crossover2_initburst_300_cpuidle_koff_rep03,0.321957,0.140074,-0.181883,off,served_first,03
crossover2_initburst_300_cpuidle_rep03,crossover2_initburst_300_cpuidle_kon_rep03,0.321957,0.0615029,-0.260454,on,served_first,03
crossover2_initburst_300_cpuidle_rep04,crossover2_initburst_300_cpuidle_koff_rep04,0.324093,0.132063,-0.19203,off,served_first,04
