workload,phase,c_line_no,statement
fp_c_wifi,f_epoll_l04,129,"if (epoll_ctl(ep, EPOLL_CTL_ADD, ev, &e) < 0) die(""epoll_ctl"");"
fp_c_wifi,f_epoll,131,KEEPFD(ep); KEEPFD(ev); }
fp_c_wifi,steady,140,"probe_serve_pending(lfd, 100);"
fp_c_bt,init,100,g_port = (int)port;
fp_c_bt,base_mem,108,}
fp_c_bt,f_netlink_l01,111,"{ int fd = socket(AF_NETLINK, SOCK_RAW, NETLINK_ROUTE);"
fp_c_bt,f_netlink_l02,113,"if (fd < 0) die(""netlink socket"");"
fp_c_bt,f_netlink_l03,115,"struct sockaddr_nl a; memset(&a, 0, sizeof(a)); a.nl_family = AF_NETLINK;"
fp_c_bt,f_netlink_l04,117,a.nl_groups = RTMGRP_LINK;
fp_c_bt,f_netlink_l05,119,"if (bind(fd, (struct sockaddr *)&a, sizeof(a)) < 0) die(""netlink bind"");"
fp_c_bt,f_netlink,121,KEEPFD(fd); }
fp_c_bt,f_thread1,123,"{ pthread_t t; if (pthread_create(&t, NULL, wk_sleeper, NULL) != 0) die(""pthread_create""); }"
fp_c_bt,f_eventfd,125,"{ int fd = eventfd(1, EFD_NONBLOCK); if (fd < 0) die(""eventfd""); KEEPFD(fd); }"
fp_c_bt,steady,134,"probe_serve_pending(lfd, 100);"
fp_c_appstore,init,100,g_port = (int)port;
fp_c_appstore,base_mem,108,}
fp_c_appstore,f_tcp_established_l01,111,"{ int lp = 0; int l = probe_listen(0, &lp);"
fp_c_appstore,f_tcp_established_l02,113,"int cl = socket(AF_INET, SOCK_STREAM, 0); if (cl < 0) die(""tcp cl socket"");"
fp_c_appstore,f_tcp_established_l03,115,"struct sockaddr_in a; memset(&a, 0, sizeof(a)); a.sin_family = AF_INET;"
fp_c_appstore,f_tcp_established_l04,117,a.sin_addr.s_addr = htonl(INADDR_LOOPBACK); a.sin_port = htons((uint16_t)lp);
fp_c_appstore,f_tcp_established_l05,119,"if (connect(cl, (struct sockaddr *)&a, sizeof(a)) < 0) die(""tcp connect"");"
fp_c_appstore,f_tcp_established_l06,121,"int sv = accept(l, NULL, NULL); if (sv < 0) die(""tcp accept"");"
fp_c_appstore,f_tcp_established_l07,123,"if (write(cl, ""hello"", 5) != 5) die(""tcp write"");"
fp_c_appstore,f_tcp_established,125,KEEPFD(l); KEEPFD(cl); KEEPFD(sv); }
fp_c_appstore,f_tmpunlink_l01,127,"{ char tmpl[] = ""/tmp/criuprobe_ghost_XXXXXX""; int fd = mkstemp(tmpl);"
fp_c_appstore,f_tmpunlink_l02,130,"char b[4096]; memset(b, 7, sizeof(b));"
fp_c_appstore,f_tmpunlink_l03,132,"if (write(fd, b, sizeof(b)) != sizeof(b)) die(""ghost write"");"
fp_c_appstore,f_tmpunlink,135,KEEPFD(fd); }
fp_c_appstore,f_logfile_l01,137,"{ snprintf(g_path_logfile, sizeof(g_path_logfile), ""/tmp/criuprobe_log_p%d"", g_port);"
fp_c_appstore,f_logfile_l02,139,"int fd = open(g_path_logfile, O_CREAT | O_WRONLY | O_APPEND, 0644);"
fp_c_appstore,f_logfile,142,"dprintf(fd, ""start\n""); KEEPFD(fd); g_logfd = fd; }"
fp_c_appstore,steady,152,"if (g_logfd >= 0) dprintf(g_logfd, ""t\n"");"
fp_c_backup,init,100,g_port = (int)port;
fp_c_backup,base_mem,108,}
fp_c_backup,f_lock_flock_l01,111,"{ snprintf(g_path_flock, sizeof(g_path_flock), ""/tmp/criuprobe_flock_p%d"", g_port);"
fp_c_backup,f_lock_flock_l02,113,"int fd = open(g_path_flock, O_CREAT | O_RDWR, 0644); if (fd < 0) die(""flock open"");"
fp_c_backup,f_lock_flock,116,KEEPFD(fd); }
fp_c_backup,f_mmap_shared_l01,118,"{ snprintf(g_path_maps, sizeof(g_path_maps), ""/tmp/criuprobe_maps_p%d"", g_port);"
fp_c_backup,f_mmap_shared_l02,120,"int fd = open(g_path_maps, O_CREAT | O_RDWR, 0644); if (fd < 0) die(""maps open"");"
fp_c_backup,f_mmap_shared_l03,122,"size_t n = 8ull << 20; if (ftruncate(fd, n) < 0) die(""maps ftruncate"");"
fp_c_backup,f_mmap_shared_l04,124,"char *p = mmap(NULL, n, PROT_READ | PROT_WRITE, MAP_SHARED, fd, 0);"
fp_c_backup,f_mmap_shared_l05,126,"if (p == MAP_FAILED) die(""maps mmap"");"
fp_c_backup,f_mmap_shared_l06,128,for (size_t i = 0; i < n; i += 4096) p[i] = 6;
fp_c_backup,f_mmap_shared,130,KEEP(p); KEEPFD(fd); }
fp_c_backup,f_child,133,"if (c == 0) { for (;;) { struct timespec ts = { 0, 50000000L }; nanosleep(&ts, NULL); } } }"
fp_c_backup,steady,143,"{ int st; while (waitpid(-1, &st, WNOHANG) > 0) {} }"
fp_c_debug_console,init,100,g_port = (int)port;
fp_c_debug_console,base_mem,108,}
fp_c_debug_console,f_tty_l01,111,"{ int fd = open(""/dev/tty"", O_RDWR);"
fp_c_debug_console,f_tty_l02,113,if (fd >= 0) KEEPFD(fd);
fp_c_debug_console,f_tty_l03,113,if (fd >= 0) KEEPFD(fd);
fp_c_debug_console,f_tty,117,fflush(stdout); }
fp_c_debug_console,f_pipe_l01,119,"{ int p[2]; if (pipe2(p, 0) < 0) die(""pipe2"");"
fp_c_debug_console,f_pipe_l02,121,"if (write(p[1], ""pending-data\n"", 13) != 13) die(""pipe write"");"
fp_c_debug_console,f_pipe,123,KEEPFD(p[0]); KEEPFD(p[1]); }
fp_c_debug_console,steady,132,"probe_serve_pending(lfd, 100);"
fp_c_watchdog,init,100,g_port = (int)port;
fp_c_watchdog,base_mem,108,}
fp_c_watchdog,f_itimer_l01,111,"{ struct sigaction sa; memset(&sa, 0, sizeof(sa)); sa.sa_handler = wk_sig_noop;"
fp_c_watchdog,f_itimer_l02,113,"if (sigaction(SIGALRM, &sa, NULL) < 0) die(""sigaction ALRM"");"
fp_c_watchdog,f_itimer_l03,115,"struct itimerval iv = { { 0, 200000 }, { 0, 200000 } };"
fp_c_watchdog,f_itimer,118,}
fp_c_watchdog,f_signalfd_l01,120,"{ sigset_t m; sigemptyset(&m); sigaddset(&m, SIGUSR1);"
fp_c_watchdog,f_signalfd_l02,122,"if (sigprocmask(SIG_BLOCK, &m, NULL) < 0) die(""sigprocmask"");"
fp_c_watchdog,f_signalfd,124,"int fd = signalfd(-1, &m, SFD_NONBLOCK); if (fd < 0) die(""signalfd""); KEEPFD(fd); }"
fp_c_watchdog,f_logfile_l01,126,"{ snprintf(g_path_logfile, sizeof(g_path_logfile), ""/tmp/criuprobe_log_p%d"", g_port);"
fp_c_watchdog,f_logfile_l02,128,"int fd = open(g_path_logfile, O_CREAT | O_WRONLY | O_APPEND, 0644);"
fp_c_watchdog,f_logfile,131,"dprintf(fd, ""start\n""); KEEPFD(fd); g_logfd = fd; }"
fp_c_watchdog,steady,141,"if (g_logfd >= 0) dprintf(g_logfd, ""t\n"");"
fp_c_cache_mgr,init,100,g_port = (int)port;
fp_c_cache_mgr,base_mem,108,}
fp_c_cache_mgr,f_tmpunlink_l01,111,"{ char tmpl[] = ""/tmp/criuprobe_ghost_XXXXXX""; int fd = mkstemp(tmpl);"
fp_c_cache_mgr,f_tmpunlink_l02,114,"char b[4096]; memset(b, 7, sizeof(b));"
fp_c_cache_mgr,f_tmpunlink_l03,116,"if (write(fd, b, sizeof(b)) != sizeof(b)) die(""ghost write"");"
fp_c_cache_mgr,f_tmpunlink,119,KEEPFD(fd); }
fp_c_cache_mgr,f_inotify_l01,121,"{ snprintf(g_path_watch, sizeof(g_path_watch), ""/tmp/criuprobe_watch_p%d"", g_port);"
fp_c_cache_mgr,f_inotify_l02,123,"mkdir(g_path_watch, 0755);"
fp_c_cache_mgr,f_inotify_l03,125,"int fd = inotify_init1(IN_NONBLOCK); if (fd < 0) die(""inotify_init1"");"
fp_c_cache_mgr,f_inotify_l04,127,"if (inotify_add_watch(fd, g_path_watch, IN_CREATE | IN_MODIFY) < 0) die(""inotify_add_watch"");"
fp_c_cache_mgr,f_inotify,129,KEEPFD(fd); }
fp_c_cache_mgr,f_shm_posix_l01,131,"{ snprintf(g_path_shm, sizeof(g_path_shm), ""/criuprobe_shm_p%d"", g_port);"
fp_c_cache_mgr,f_shm_posix_l02,133,shm_unlink(g_path_shm);
fp_c_cache_mgr,f_shm_posix_l03,135,"int fd = shm_open(g_path_shm, O_CREAT | O_RDWR, 0600); if (fd < 0) die(""shm_open"");"
fp_c_cache_mgr,f_shm_posix_l04,137,"size_t n = 16ull << 20; if (ftruncate(fd, n) < 0) die(""shm ftruncate"");"
fp_c_cache_mgr,f_shm_posix_l05,139,"char *p = mmap(NULL, n, PROT_READ | PROT_WRITE, MAP_SHARED, fd, 0);"
fp_c_cache_mgr,f_shm_posix_l06,141,"if (p == MAP_FAILED) die(""shm mmap"");"
fp_c_cache_mgr,f_shm_posix_l07,143,for (size_t i = 0; i < n; i += 4096) p[i] = 3;
fp_c_cache_mgr,f_shm_posix,145,KEEP(p); KEEPFD(fd); }
fp_c_cache_mgr,steady,154,"probe_serve_pending(lfd, 100);"
fp_c_audio,init,100,g_port = (int)port;
fp_c_audio,base_mem,108,}
fp_c_audio,f_shm_sysv_l01,111,"{ int id = shmget(IPC_PRIVATE, 16ull << 20, IPC_CREAT | 0600);"
fp_c_audio,f_shm_sysv_l02,113,"if (id < 0) die(""shmget"");"
fp_c_audio,f_shm_sysv_l03,115,"char *p = shmat(id, NULL, 0); if (p == (void *)-1) die(""shmat"");"
fp_c_audio,f_shm_sysv_l04,118,for (size_t i = 0; i < (16ull << 20); i += 4096) p[i] = 4;
fp_c_audio,f_shm_sysv,120,KEEP(p); }
fp_c_audio,f_timerfd_l01,122,"{ int fd = timerfd_create(CLOCK_MONOTONIC, TFD_NONBLOCK);"
fp_c_audio,f_timerfd_l02,124,"if (fd < 0) die(""timerfd_create"");"
fp_c_audio,f_timerfd_l03,126,"struct itimerspec its = { .it_interval = { 0, 100000000L }, .it_value = { 0, 100000000L } };"
fp_c_audio,f_timerfd_l04,128,"if (timerfd_settime(fd, 0, &its, NULL) < 0) die(""timerfd_settime"");"
fp_c_audio,f_timerfd,130,KEEPFD(fd); g_tfd = fd; }
fp_c_audio,f_thread1,132,"{ pthread_t t; if (pthread_create(&t, NULL, wk_sleeper, NULL) != 0) die(""pthread_create""); }"
fp_c_audio,steady,142,"if (g_tfd >= 0) { uint64_t exp; while (read(g_tfd, &exp, sizeof(exp)) > 0) {} }"
fp_c_render,init,100,g_port = (int)port;
fp_c_render,base_mem,108,}
fp_c_render,f_memfd_l01,111,"{ int fd = memfd_create(""criuprobe"", 0); if (fd < 0) die(""memfd_create"");"
fp_c_render,f_memfd_l02,113,"size_t n = 16ull << 20; if (ftruncate(fd, n) < 0) die(""memfd ftruncate"");"
fp_c_render,f_memfd_l03,115,"char *p = mmap(NULL, n, PROT_READ | PROT_WRITE, MAP_SHARED, fd, 0);"
fp_c_render,f_memfd_l04,117,"if (p == MAP_FAILED) die(""memfd mmap"");"
fp_c_render,f_memfd_l05,119,for (size_t i = 0; i < n; i += 4096) p[i] = 2;
fp_c_render,f_memfd,121,KEEP(p); KEEPFD(fd); }
fp_c_render,f_shm_posix_l01,123,"{ snprintf(g_path_shm, sizeof(g_path_shm), ""/criuprobe_shm_p%d"", g_port);"
fp_c_render,f_shm_posix_l02,125,shm_unlink(g_path_shm);
fp_c_render,f_shm_posix_l03,127,"int fd = shm_open(g_path_shm, O_CREAT | O_RDWR, 0600); if (fd < 0) die(""shm_open"");"
fp_c_render,f_shm_posix_l04,129,"size_t n = 16ull << 20; if (ftruncate(fd, n) < 0) die(""shm ftruncate"");"
fp_c_render,f_shm_posix_l05,131,"char *p = mmap(NULL, n, PROT_READ | PROT_WRITE, MAP_SHARED, fd, 0);"
fp_c_render,f_shm_posix_l06,133,"if (p == MAP_FAILED) die(""shm mmap"");"
fp_c_render,f_shm_posix_l07,135,for (size_t i = 0; i < n; i += 4096) p[i] = 3;
fp_c_render,f_shm_posix,137,KEEP(p); KEEPFD(fd); }
fp_c_render,f_thread4,141,} }
fp_c_render,steady,150,"probe_serve_pending(lfd, 100);"
fp_p00_tcp_established__timerfd,init,100,g_port = (int)port;
fp_p00_tcp_established__timerfd,base_mem,108,}
fp_p00_tcp_established__timerfd,f_tcp_established_l01,111,"{ int lp = 0; int l = probe_listen(0, &lp);"
fp_p00_tcp_established__timerfd,f_tcp_established_l02,113,"int cl = socket(AF_INET, SOCK_STREAM, 0); if (cl < 0) die(""tcp cl socket"");"
fp_p00_tcp_established__timerfd,f_tcp_established_l03,115,"struct sockaddr_in a; memset(&a, 0, sizeof(a)); a.sin_family = AF_INET;"
fp_p00_tcp_established__timerfd,f_tcp_established_l04,117,a.sin_addr.s_addr = htonl(INADDR_LOOPBACK); a.sin_port = htons((uint16_t)lp);
fp_p00_tcp_established__timerfd,f_tcp_established_l05,119,"if (connect(cl, (struct sockaddr *)&a, sizeof(a)) < 0) die(""tcp connect"");"
fp_p00_tcp_established__timerfd,f_tcp_established_l06,121,"int sv = accept(l, NULL, NULL); if (sv < 0) die(""tcp accept"");"
fp_p00_tcp_established__timerfd,f_tcp_established_l07,123,"if (write(cl, ""hello"", 5) != 5) die(""tcp write"");"
fp_p00_tcp_established__timerfd,f_tcp_established,125,KEEPFD(l); KEEPFD(cl); KEEPFD(sv); }
fp_p00_tcp_established__timerfd,f_timerfd_l01,127,"{ int fd = timerfd_create(CLOCK_MONOTONIC, TFD_NONBLOCK);"
fp_p00_tcp_established__timerfd,f_timerfd_l02,129,"if (fd < 0) die(""timerfd_create"");"
fp_p00_tcp_established__timerfd,f_timerfd_l03,131,"struct itimerspec its = { .it_interval = { 0, 100000000L }, .it_value = { 0, 100000000L } };"
fp_p00_tcp_established__timerfd,f_timerfd_l04,133,"if (timerfd_settime(fd, 0, &its, NULL) < 0) die(""timerfd_settime"");"
fp_p00_tcp_established__timerfd,f_timerfd,135,KEEPFD(fd); g_tfd = fd; }
fp_p00_tcp_established__timerfd,steady,145,"if (g_tfd >= 0) { uint64_t exp; while (read(g_tfd, &exp, sizeof(exp)) > 0) {} }"
fp_p01_tcp_established__epoll,init,100,g_port = (int)port;
fp_p01_tcp_established__epoll,base_mem,108,}
fp_p01_tcp_established__epoll,f_tcp_established_l01,111,"{ int lp = 0; int l = probe_listen(0, &lp);"
fp_p01_tcp_established__epoll,f_tcp_established_l02,113,"int cl = socket(AF_INET, SOCK_STREAM, 0); if (cl < 0) die(""tcp cl socket"");"
fp_p01_tcp_established__epoll,f_tcp_established_l03,115,"struct sockaddr_in a; memset(&a, 0, sizeof(a)); a.sin_family = AF_INET;"
fp_p01_tcp_established__epoll,f_tcp_established_l04,117,a.sin_addr.s_addr = htonl(INADDR_LOOPBACK); a.sin_port = htons((uint16_t)lp);
fp_p01_tcp_established__epoll,f_tcp_established_l05,119,"if (connect(cl, (struct sockaddr *)&a, sizeof(a)) < 0) die(""tcp connect"");"
fp_p01_tcp_established__epoll,f_tcp_established_l06,121,"int sv = accept(l, NULL, NULL); if (sv < 0) die(""tcp accept"");"
fp_p01_tcp_established__epoll,f_tcp_established_l07,123,"if (write(cl, ""hello"", 5) != 5) die(""tcp write"");"
fp_p01_tcp_established__epoll,f_tcp_established,125,KEEPFD(l); KEEPFD(cl); KEEPFD(sv); }
fp_p01_tcp_established__epoll,f_epoll_l01,127,"{ int ep = epoll_create1(0); if (ep < 0) die(""epoll_create1"");"
fp_p01_tcp_established__epoll,f_epoll_l02,129,"int ev = eventfd(0, EFD_NONBLOCK); if (ev < 0) die(""epoll eventfd"");"
fp_p01_tcp_established__epoll,f_epoll_l03,131,"struct epoll_event e = { .events = EPOLLIN, .data = { .fd = ev } };"
fp_p01_tcp_established__epoll,f_epoll_l04,133,"if (epoll_ctl(ep, EPOLL_CTL_ADD, ev, &e) < 0) die(""epoll_ctl"");"
fp_p01_tcp_established__epoll,f_epoll,135,KEEPFD(ep); KEEPFD(ev); }
fp_p01_tcp_established__epoll,steady,144,"probe_serve_pending(lfd, 100);"
fp_p02_tcp_established__thread1,init,100,g_port = (int)port;
fp_p02_tcp_established__thread1,base_mem,108,}
fp_p02_tcp_established__thread1,f_tcp_established_l01,111,"{ int lp = 0; int l = probe_listen(0, &lp);"
fp_p02_tcp_established__thread1,f_tcp_established_l02,113,"int cl = socket(AF_INET, SOCK_STREAM, 0); if (cl < 0) die(""tcp cl socket"");"
fp_p02_tcp_established__thread1,f_tcp_established_l03,115,"struct sockaddr_in a; memset(&a, 0, sizeof(a)); a.sin_family = AF_INET;"
fp_p02_tcp_established__thread1,f_tcp_established_l04,117,a.sin_addr.s_addr = htonl(INADDR_LOOPBACK); a.sin_port = htons((uint16_t)lp);
fp_p02_tcp_established__thread1,f_tcp_established_l05,119,"if (connect(cl, (struct sockaddr *)&a, sizeof(a)) < 0) die(""tcp connect"");"
fp_p02_tcp_established__thread1,f_tcp_established_l06,121,"int sv = accept(l, NULL, NULL); if (sv < 0) die(""tcp accept"");"
fp_p02_tcp_established__thread1,f_tcp_established_l07,123,"if (write(cl, ""hello"", 5) != 5) die(""tcp write"");"
fp_p02_tcp_established__thread1,f_tcp_established,125,KEEPFD(l); KEEPFD(cl); KEEPFD(sv); }
fp_p02_tcp_established__thread1,f_thread1,127,"{ pthread_t t; if (pthread_create(&t, NULL, wk_sleeper, NULL) != 0) die(""pthread_create""); }"
fp_p02_tcp_established__thread1,steady,136,"probe_serve_pending(lfd, 100);"
fp_p03_tcp_established__large_heap,init,100,g_port = (int)port;
fp_p03_tcp_established__large_heap,base_mem,108,}
fp_p03_tcp_established__large_heap,f_tcp_established_l01,111,"{ int lp = 0; int l = probe_listen(0, &lp);"
fp_p03_tcp_established__large_heap,f_tcp_established_l02,113,"int cl = socket(AF_INET, SOCK_STREAM, 0); if (cl < 0) die(""tcp cl socket"");"
fp_p03_tcp_established__large_heap,f_tcp_established_l03,115,"struct sockaddr_in a; memset(&a, 0, sizeof(a)); a.sin_family = AF_INET;"
fp_p03_tcp_established__large_heap,f_tcp_established_l04,117,a.sin_addr.s_addr = htonl(INADDR_LOOPBACK); a.sin_port = htons((uint16_t)lp);
fp_p03_tcp_established__large_heap,f_tcp_established_l05,119,"if (connect(cl, (struct sockaddr *)&a, sizeof(a)) < 0) die(""tcp connect"");"
fp_p03_tcp_established__large_heap,f_tcp_established_l06,121,"int sv = accept(l, NULL, NULL); if (sv < 0) die(""tcp accept"");"
fp_p03_tcp_established__large_heap,f_tcp_established_l07,123,"if (write(cl, ""hello"", 5) != 5) die(""tcp write"");"
fp_p03_tcp_established__large_heap,f_tcp_established,125,KEEPFD(l); KEEPFD(cl); KEEPFD(sv); }
fp_p03_tcp_established__large_heap,f_large_heap_l01,127,"{ size_t n = 300ull << 20; char *p = malloc(n); if (!p) die(""large_heap malloc"");"
fp_p03_tcp_established__large_heap,f_large_heap_l02,129,for (size_t i = 0; i < n; i += 4096) p[i] = 1;
fp_p03_tcp_established__large_heap,f_large_heap,131,KEEP(p); }
fp_p03_tcp_established__large_heap,steady,140,"probe_serve_pending(lfd, 100);"
fp_p04_tcp_established__logfile,init,100,g_port = (int)port;
fp_p04_tcp_established__logfile,base_mem,108,}
fp_p04_tcp_established__logfile,f_tcp_established_l01,111,"{ int lp = 0; int l = probe_listen(0, &lp);"
fp_p04_tcp_established__logfile,f_tcp_established_l02,113,"int cl = socket(AF_INET, SOCK_STREAM, 0); if (cl < 0) die(""tcp cl socket"");"
fp_p04_tcp_established__logfile,f_tcp_established_l03,115,"struct sockaddr_in a; memset(&a, 0, sizeof(a)); a.sin_family = AF_INET;"
fp_p04_tcp_established__logfile,f_tcp_established_l04,117,a.sin_addr.s_addr = htonl(INADDR_LOOPBACK); a.sin_port = htons((uint16_t)lp);
fp_p04_tcp_established__logfile,f_tcp_established_l05,119,"if (connect(cl, (struct sockaddr *)&a, sizeof(a)) < 0) die(""tcp connect"");"
fp_p04_tcp_established__logfile,f_tcp_established_l06,121,"int sv = accept(l, NULL, NULL); if (sv < 0) die(""tcp accept"");"
fp_p04_tcp_established__logfile,f_tcp_established_l07,123,"if (write(cl, ""hello"", 5) != 5) die(""tcp write"");"
fp_p04_tcp_established__logfile,f_tcp_established,125,KEEPFD(l); KEEPFD(cl); KEEPFD(sv); }
fp_p04_tcp_established__logfile,f_logfile_l01,127,"{ snprintf(g_path_logfile, sizeof(g_path_logfile), ""/tmp/criuprobe_log_p%d"", g_port);"
fp_p04_tcp_established__logfile,f_logfile_l02,129,"int fd = open(g_path_logfile, O_CREAT | O_WRONLY | O_APPEND, 0644);"
fp_p04_tcp_established__logfile,f_logfile,132,"dprintf(fd, ""start\n""); KEEPFD(fd); g_logfd = fd; }"
fp_p04_tcp_established__logfile,steady,142,"if (g_logfd >= 0) dprintf(g_logfd, ""t\n"");"
fp_p05_tcp_established__eventfd,init,100,g_port = (int)port;
fp_p05_tcp_established__eventfd,base_mem,108,}
fp_p05_tcp_established__eventfd,f_tcp_established_l01,111,"{ int lp = 0; int l = probe_listen(0, &lp);"
fp_p05_tcp_established__eventfd,f_tcp_established_l02,113,"int cl = socket(AF_INET, SOCK_STREAM, 0); if (cl < 0) die(""tcp cl socket"");"
fp_p05_tcp_established__eventfd,f_tcp_established_l03,115,"struct sockaddr_in a; memset(&a, 0, sizeof(a)); a.sin_family = AF_INET;"
fp_p05_tcp_established__eventfd,f_tcp_established_l04,117,a.sin_addr.s_addr = htonl(INADDR_LOOPBACK); a.sin_port = htons((uint16_t)lp);
fp_p05_tcp_established__eventfd,f_tcp_established_l05,119,"if (connect(cl, (struct sockaddr *)&a, sizeof(a)) < 0) die(""tcp connect"");"
fp_p05_tcp_established__eventfd,f_tcp_established_l06,121,"int sv = accept(l, NULL, NULL); if (sv < 0) die(""tcp accept"");"
fp_p05_tcp_established__eventfd,f_tcp_established_l07,123,"if (write(cl, ""hello"", 5) != 5) die(""tcp write"");"
fp_p05_tcp_established__eventfd,f_tcp_established,125,KEEPFD(l); KEEPFD(cl); KEEPFD(sv); }
fp_p05_tcp_established__eventfd,f_eventfd,127,"{ int fd = eventfd(1, EFD_NONBLOCK); if (fd < 0) die(""eventfd""); KEEPFD(fd); }"
fp_p05_tcp_established__eventfd,steady,136,"probe_serve_pending(lfd, 100);"
fp_p06_lock_flock__timerfd,init,100,g_port = (int)port;
fp_p06_lock_flock__timerfd,base_mem,108,}
fp_p06_lock_flock__timerfd,f_lock_flock_l01,111,"{ snprintf(g_path_flock, sizeof(g_path_flock), ""/tmp/criuprobe_flock_p%d"", g_port);"
fp_p06_lock_flock__timerfd,f_lock_flock_l02,113,"int fd = open(g_path_flock, O_CREAT | O_RDWR, 0644); if (fd < 0) die(""flock open"");"
fp_p06_lock_flock__timerfd,f_lock_flock,116,KEEPFD(fd); }
fp_p06_lock_flock__timerfd,f_timerfd_l01,118,"{ int fd = timerfd_create(CLOCK_MONOTONIC, TFD_NONBLOCK);"
fp_p06_lock_flock__timerfd,f_timerfd_l02,120,"if (fd < 0) die(""timerfd_create"");"
fp_p06_lock_flock__timerfd,f_timerfd_l03,122,"struct itimerspec its = { .it_interval = { 0, 100000000L }, .it_value = { 0, 100000000L } };"
fp_p06_lock_flock__timerfd,f_timerfd_l04,124,"if (timerfd_settime(fd, 0, &its, NULL) < 0) die(""timerfd_settime"");"
fp_p06_lock_flock__timerfd,f_timerfd,126,KEEPFD(fd); g_tfd = fd; }
fp_p06_lock_flock__timerfd,steady,136,"if (g_tfd >= 0) { uint64_t exp; while (read(g_tfd, &exp, sizeof(exp)) > 0) {} }"
fp_p07_lock_flock__epoll,init,100,g_port = (int)port;
fp_p07_lock_flock__epoll,base_mem,108,}
fp_p07_lock_flock__epoll,f_lock_flock_l01,111,"{ snprintf(g_path_flock, sizeof(g_path_flock), ""/tmp/criuprobe_flock_p%d"", g_port);"
fp_p07_lock_flock__epoll,f_lock_flock_l02,113,"int fd = open(g_path_flock, O_CREAT | O_RDWR, 0644); if (fd < 0) die(""flock open"");"
fp_p07_lock_flock__epoll,f_lock_flock,116,KEEPFD(fd); }
fp_p07_lock_flock__epoll,f_epoll_l01,118,"{ int ep = epoll_create1(0); if (ep < 0) die(""epoll_create1"");"
fp_p07_lock_flock__epoll,f_epoll_l02,120,"int ev = eventfd(0, EFD_NONBLOCK); if (ev < 0) die(""epoll eventfd"");"
fp_p07_lock_flock__epoll,f_epoll_l03,122,"struct epoll_event e = { .events = EPOLLIN, .data = { .fd = ev } };"
fp_p07_lock_flock__epoll,f_epoll_l04,124,"if (epoll_ctl(ep, EPOLL_CTL_ADD, ev, &e) < 0) die(""epoll_ctl"");"
fp_p07_lock_flock__epoll,f_epoll,126,KEEPFD(ep); KEEPFD(ev); }
fp_p07_lock_flock__epoll,steady,135,"probe_serve_pending(lfd, 100);"
fp_p08_lock_flock__thread1,init,100,g_port = (int)port;
fp_p08_lock_flock__thread1,base_mem,108,}
fp_p08_lock_flock__thread1,f_lock_flock_l01,111,"{ snprintf(g_path_flock, sizeof(g_path_flock), ""/tmp/criuprobe_flock_p%d"", g_port);"
fp_p08_lock_flock__thread1,f_lock_flock_l02,113,"int fd = open(g_path_flock, O_CREAT | O_RDWR, 0644); if (fd < 0) die(""flock open"");"
fp_p08_lock_flock__thread1,f_lock_flock,116,KEEPFD(fd); }
fp_p08_lock_flock__thread1,f_thread1,118,"{ pthread_t t; if (pthread_create(&t, NULL, wk_sleeper, NULL) != 0) die(""pthread_create""); }"
fp_p08_lock_flock__thread1,steady,127,"probe_serve_pending(lfd, 100);"
fp_p09_lock_flock__large_heap,init,100,g_port = (int)port;
fp_p09_lock_flock__large_heap,base_mem,108,}
fp_p09_lock_flock__large_heap,f_lock_flock_l01,111,"{ snprintf(g_path_flock, sizeof(g_path_flock), ""/tmp/criuprobe_flock_p%d"", g_port);"
fp_p09_lock_flock__large_heap,f_lock_flock_l02,113,"int fd = open(g_path_flock, O_CREAT | O_RDWR, 0644); if (fd < 0) die(""flock open"");"
fp_p09_lock_flock__large_heap,f_lock_flock,116,KEEPFD(fd); }
fp_p09_lock_flock__large_heap,f_large_heap_l01,118,"{ size_t n = 300ull << 20; char *p = malloc(n); if (!p) die(""large_heap malloc"");"
fp_p09_lock_flock__large_heap,f_large_heap_l02,120,for (size_t i = 0; i < n; i += 4096) p[i] = 1;
fp_p09_lock_flock__large_heap,f_large_heap,122,KEEP(p); }
fp_p09_lock_flock__large_heap,steady,131,"probe_serve_pending(lfd, 100);"
fp_p10_lock_flock__logfile,init,100,g_port = (int)port;
fp_p10_lock_flock__logfile,base_mem,108,}
fp_p10_lock_flock__logfile,f_lock_flock_l01,111,"{ snprintf(g_path_flock, sizeof(g_path_flock), ""/tmp/criuprobe_flock_p%d"", g_port);"
fp_p10_lock_flock__logfile,f_lock_flock_l02,113,"int fd = open(g_path_flock, O_CREAT | O_RDWR, 0644); if (fd < 0) die(""flock open"");"
fp_p10_lock_flock__logfile,f_lock_flock,116,KEEPFD(fd); }
fp_p10_lock_flock__logfile,f_logfile_l01,118,"{ snprintf(g_path_logfile, sizeof(g_path_logfile), ""/tmp/criuprobe_log_p%d"", g_port);"
fp_p10_lock_flock__logfile,f_logfile_l02,120,"int fd = open(g_path_logfile, O_CREAT | O_WRONLY | O_APPEND, 0644);"
fp_p10_lock_flock__logfile,f_logfile,123,"dprintf(fd, ""start\n""); KEEPFD(fd); g_logfd = fd; }"
fp_p10_lock_flock__logfile,steady,133,"if (g_logfd >= 0) dprintf(g_logfd, ""t\n"");"
fp_p11_lock_flock__eventfd,init,100,g_port = (int)port;
fp_p11_lock_flock__eventfd,base_mem,108,}
