scenario,family,phase,criu_opts,pre_dump,post_dump,restore_mem_mib,hub_mode,launch_ok,dump_rc,restore_rc,img_kib,v_pong,v_stat,v_hub,v_tcp,v_live5,v_resume,rereg_ms,verdict,world,dump_err,restore_err
S059one_urandom.file__init,S,init,filelocks,none,none,0,none,1,0,0,284,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=12612 regs=3236 log_rx=54150 svcs=4 mem_mib=855 memd_kills=90","",""
S059one_urandom.file__db_open,S,db_open,filelocks,none,none,0,none,1,0,0,284,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=12621 regs=3236 log_rx=54200 svcs=4 mem_mib=855 memd_kills=90","",""
S059one_urandom.file__dev_urandom,S,dev_urandom,filelocks,none,none,0,none,1,0,0,284,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=12629 regs=3236 log_rx=54200 svcs=4 mem_mib=855 memd_kills=90","",""
S059one_urandom.file__epg_index,S,epg_index,filelocks,none,none,0,none,1,0,0,13596,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=12637 regs=3236 log_rx=54250 svcs=4 mem_mib=855 memd_kills=90","",""
S059one_urandom.file__ready,S,ready,filelocks,none,none,0,none,1,1,na,124,na,na,na,na,na,na,na,dump_fail,"up_s=12645 regs=3236 log_rx=54300 svcs=4 mem_mib=855 memd_kills=90","(00.138967) Error (criu/fsnotify.c:284): fsnotify: 	Can't dump that handle",""
S059one_urandom.file__steady,S,steady,filelocks,none,none,0,none,1,1,na,124,na,na,na,na,na,na,na,dump_fail,"up_s=12654 regs=3236 log_rx=54350 svcs=4 mem_mib=855 memd_kills=90","(00.120183) Error (criu/fsnotify.c:284): fsnotify: 	Can't dump that handle",""
S060one_urandom.perm__init,S,init,permissive,none,none,0,none,1,0,0,284,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=12662 regs=3236 log_rx=54350 svcs=4 mem_mib=855 memd_kills=90","",""
S060one_urandom.perm__db_open,S,db_open,permissive,none,none,0,none,1,0,0,284,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=12671 regs=3236 log_rx=54400 svcs=4 mem_mib=855 memd_kills=90","",""
S060one_urandom.perm__dev_urandom,S,dev_urandom,permissive,none,none,0,none,1,0,0,280,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=12679 regs=3236 log_rx=54450 svcs=4 mem_mib=855 memd_kills=90","",""
S060one_urandom.perm__epg_index,S,epg_index,permissive,none,none,0,none,1,0,0,13596,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=12687 regs=3236 log_rx=54450 svcs=4 mem_mib=855 memd_kills=90","",""
S060one_urandom.perm__ready,S,ready,permissive,none,none,0,none,1,1,na,124,na,na,na,na,na,na,na,dump_fail,"up_s=12696 regs=3236 log_rx=54500 svcs=4 mem_mib=855 memd_kills=90","(00.130090) Error (criu/fsnotify.c:284): fsnotify: 	Can't dump that handle",""
S060one_urandom.perm__steady,S,steady,permissive,none,none,0,none,1,1,na,124,na,na,na,na,na,na,na,dump_fail,"up_s=12704 regs=3236 log_rx=54550 svcs=4 mem_mib=855 memd_kills=90","(00.106125) Error (criu/fsnotify.c:284): fsnotify: 	Can't dump that handle",""
S061one_log.stri__init,S,init,strict,none,none,0,normal,1,0,0,284,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=12713 regs=3236 log_rx=54600 svcs=4 mem_mib=855 memd_kills=90","",""
